ID;ZONAL_ID;ZONAL_CODE;ZONAL_NAME;LOCALIDAD_ID;LOCALIDAD_CODE;LOCALIDAD_NAME;SITIO_ID;SITIO_CODE;SITIO_NAME;ELEMENTO_ID;ELEMENTO_SERIAL;Created;ELEMENTO_NAME;TIPOELEMENTO_ID;TIPOELEMENTO_NAME;MARCA_ID;MARCA_NAME;MODELO_ID;MODELO_NAME;FLAG_ACTIVO;FECHA_INGRESO;FECHA_BAJA;LATITUD;LONGITUD;REGION;PROVINCIA;COMUNA;ELEMENTO_RED_COR;EQUIPO;Updated;CANT_RESIDENCIAL_TEL;CANT_RESIDENCIAL_TV;CANT_RESIDENCIAL_INT;CANT_RESIDENCIAL_TOTAL;CANT_EMPRESA_EMPRESAS;CANT_EMPRESA_TELCOS;CANT_EMPRESA_TOTAL;SEVERIDAD;AVISO_SUBTEL;ESTADO;CODI_EMPRESA_SSOT;CODIGO_SERVICIO;NOMBRE_SERVICIO;CODIGO_COMPONENTE;KEY_COMPONENTE;NOMBRE_COMPONENTE;ID_FINAL;
9104-LANG-IPOBRIDGE;4;LA;LOS ANGELES;52;LANG;LOS ANGELES;2821;LANG;CENTRAL TELSUR;10537667;9104-LANG-IPOBRIDGE;;9104-LANG-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"37°28'44.04""";"72°21'02.16""";REGI�N DEL BIOB�O;PROVINCIA DE BIOB�O;LOS �NGELES;9104-LANG-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76714;
9277-BLNS-IPOBRIDGE;5;TE;TEMUCO;108;TE;TEMUCO;1954;BLN2;BULNES 2;10537668;9277-BLNS-IPOBRIDGE;;9277-BLNS-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"38°44'40.56""";"72°35'27.96""";REGI�N DE LA ARAUCAN�A;PROVINCIA DE CAUT�N;TEMUCO;9277-BLNS-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76715;
9101-LANG-IPOBRIDGE;4;LA;LOS ANGELES;52;LANG;LOS ANGELES;2821;LANG;CENTRAL TELSUR;10537671;9101-LANG-IPOBRIDGE;;9101-LANG-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"37°28'44.04""";"72°21'02.16""";REGI�N DEL BIOB�O;PROVINCIA DE BIOB�O;LOS �NGELES;9101-LANG-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76716;
9102-LANG-IPOBRIDGE;4;LA;LOS ANGELES;52;LANG;LOS ANGELES;2821;LANG;CENTRAL TELSUR;10537672;9102-LANG-IPOBRIDGE;;9102-LANG-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"37°28'44.04""";"72°21'02.16""";REGI�N DEL BIOB�O;PROVINCIA DE BIOB�O;LOS �NGELES;9102-LANG-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76717;
9350-VLD2-IPOBRIDGE;6;VA;VALDIVIA;127;VLDV;VALDIVIA;43;VLD2;CENTRAL VALDIVIA 2;10537673;9350-VLD2-IPOBRIDGE;;9350-VLD2-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"39°49'29.77""";"73°13'50.34""";REGI�N DE LOS R�OS;PROVINCIA DE VALDIVIA;VALDIVIA;9350-VLD2-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76718;
9732-CYHQ-IPOBRIDGE;10;CY;COYHAIQUE;58;CYHQ;COYHAIQUE;51;CYHQ;COYHAIQUE;10537675;9732-CYHQ-IPOBRIDGE;;9732-CYHQ-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 19:28;;"45°34'39.36""";"72°04'06.24""";REGI�N DE AIS�N DEL GENERAL CARLOS IB��EZ DEL CAMPO;PROVINCIA DE COIHAIQUE;COYHAIQUE;9732-CYHQ-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76719;
9601-CSTR-IPOBRIDGE;9;CE;CHILOE;41;CSTR;CASTRO;44;CSTR;CENTRAL CASTRO;10079389;9601-CSTR-IPOBRIDGE;;9601-CSTR-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"42°28'50.16""";"73°45'55.80""";REGI�N DE LOS LAGOS;PROVINCIA DE CHILO�;CASTRO;9601-CSTR-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76735;
9604-DCUE-IPOBRIDGE;9;CE;CHILOE;45;DCUE;DALCAHUE;2602;DCUE;DALCAHUE;10079392;9604-DCUE-IPOBRIDGE;;9604-DCUE-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"42°22'44.04""";"73°39'05.04""";REGI�N DE LOS LAGOS;PROVINCIA DE CHILO�;DALCAHUE;9604-DCUE-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76736;
2027-LNCO-IPOBRIDGE;3;CP;CONCEPCION;51;CP;CONCEPCION;2634;LNCO;LONCO;10079393;2027-LNCO-IPOBRIDGE;;2027-LNCO-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"36°51'59.04""";"73°02'21.84""";REGI�N DEL BIOB�O;PROVINCIA DE CONCEPCI�N;CONCEPCI�N;2027-LNCO-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76737;
2023-CAST-IPOBRIDGE;3;CP;CONCEPCION;51;CP;CONCEPCION;47;CAST;CASTELLON;10079394;2023-CAST-IPOBRIDGE;;2023-CAST-IPOBRIDGE;25;ONT;14;ZHONE;306;2426A;true;2/7/2019 23:28;;"36°49'11.71""";"73°03'03.76""";REGI�N DEL BIOB�O;PROVINCIA DE CONCEPCI�N;CONCEPCI�N;2023-CAST-IPOBRIDGE;;;;;;;;;;;;INGRESADO;1;3322;Red - Servicio Red Acceso;29308;SER-9940;(S) ONT;76738;
